Port Name,In FreeBSD Security,In BlackArch Porting
dorkscout,NÃO,SIM
dotdotpwn,SIM,SIM
dotpeek,NÃO,SIM
dpeparser,NÃO,SIM
dpkt-svn,NÃO,SIM
dpscan,NÃO,SIM
dr-checker,NÃO,SIM
dr0p1t-framework,NÃO,SIM
dracnmap,NÃO,SIM
dradis-ce,NÃO,SIM
dragon-backdoor,NÃO,SIM
driftnet,NÃO,SIM
drinkme,NÃO,SIM
dripcap,NÃO,SIM
dripper,NÃO,SIM
droopescan,NÃO,SIM
dropbear,SIM,NÃO
drozer,NÃO,SIM
drupal-module-enum,NÃO,SIM
drupalscan,NÃO,SIM
drupwn,NÃO,SIM
dsd,NÃO,SIM
dsd-fme,NÃO,SIM
dsfs,NÃO,SIM
dshell,NÃO,SIM
dsjs,NÃO,SIM
dsniff,SIM,NÃO
dsss,NÃO,SIM
dsstore-crawler,NÃO,SIM
dsvpn,SIM,NÃO
dsxs,NÃO,SIM
dtp-spoof,NÃO,SIM
dublin-traceroute,NÃO,SIM
ducktoolkit,NÃO,SIM
dumb0,NÃO,SIM
dump1090,NÃO,SIM
dumpacl,NÃO,SIM
dumpsmbshare,NÃO,SIM
dumpusers,NÃO,SIM
dumpzilla,NÃO,SIM
duo,SIM,NÃO
duo_openvpn,SIM,NÃO
duplicut,NÃO,SIM
dutas,NÃO,SIM
dvcs-ripper,NÃO,SIM
dwarf,NÃO,SIM
dynamorio,NÃO,SIM
eapeak,NÃO,SIM
eaphammer,NÃO,SIM
eapmd5pass,NÃO,SIM
easy-creds,NÃO,SIM
easy-rsa,SIM,NÃO
easyda,NÃO,SIM
easyfuzzer,NÃO,SIM
eazy,NÃO,SIM
ecfs,NÃO,SIM
edb,NÃO,SIM
eggshell,NÃO,SIM
eigrp-tools,NÃO,SIM
eindeutig,NÃO,SIM
elasticsearch,NÃO,SIM
electric-fence,NÃO,SIM
elettra,NÃO,SIM
elettra-gui,NÃO,SIM
elevate,NÃO,SIM
elfparser,NÃO,SIM
elidecode,NÃO,SIM
elite-proxy-finder,NÃO,SIM
email2phonenumber,NÃO,SIM
emldump,NÃO,SIM
emp3r0r,NÃO,SIM
empire,NÃO,SIM
enabler,NÃO,SIM
enc,SIM,NÃO
enchive,SIM,NÃO
encodeshellcode,NÃO,SIM
ent,NÃO,SIM
enteletaor,NÃO,SIM
entropy,NÃO,SIM
enum-shares,NÃO,SIM
enum4linux,NÃO,SIM
enum4linux-ng,NÃO,SIM
enumerate-iam,NÃO,SIM
enumerid,NÃO,SIM
enumiax,NÃO,SIM
enyelkm,NÃO,SIM
eos,NÃO,SIM
epicwebhoneypot,NÃO,SIM
erase-registrations,NÃO,SIM
eraser,NÃO,SIM
eresi,NÃO,SIM
erl-matter,NÃO,SIM
eschalot,SIM,NÃO
espionage,NÃO,SIM
eternal-scanner,NÃO,SIM
etherchange,NÃO,SIM
etherflood,NÃO,SIM
evil-ssdp,NÃO,SIM
evil-winrm,NÃO,SIM
